Index,full_name,resale_price,registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city,Helper Col : Max_power,Max_power helper (Median)
3850,2013 Nissan Micra Active XL Petrol,₹ 2.57 Lakh,Jun 2013,1198 cc,Third Party,Manual,"34,301 Kms",First Owner,Petrol,67.04bhp,5,19.49 kmpl,Hatchback,Ahmedabad,4,
3851,2017 Jeep Compass 1.4 Limited,₹ 10.04 Lakh,Jun 2017,1368 cc,Third Party,Automatic,"75,451 Kms",Second Owner,Petrol,160bhp,5,16 kmpl,SUV,Ahmedabad,0,
3852,2018 Tata Tigor 1.2 Revotron XZ,₹ 4.84 Lakh,Oct 2018,1199 cc,Comprehensive,Manual,"87,012 Kms",First Owner,Petrol,84bhp,5,20.3 kmpl,Sedan,Ahmedabad,0,
3853,2015 Hyundai i20 Sportz 1.2,₹ 5.08 Lakh,Jun 2015,1197 cc,Third Party,Manual,"1,03,384 Kms",First Owner,Petrol,81.83bhp,5,18.6 kmpl,Hatchback,Ahmedabad,83,
3854,2018 Hyundai EON Era Plus,₹ 3.17 Lakh,Apr 2018,814 cc,Zero Dep,Manual,"63,608 Kms",First Owner,Petrol,55.2bhp,5,21.1 kmpl,Hatchback,Ahmedabad,20,
3855,2020 Maruti Vitara Brezza ZXI Plus AT,₹ 9.81 Lakh,Feb 2021,1462 cc,Third Party,Automatic,"46,560 Kms",First Owner,Petrol,103.26bhp,5,18.76 kmpl,SUV,Ahmedabad,26,
3856,2004 Maruti 800 AC,"₹ 35,000",2004,796 cc,Third Party insurance,Manual,"60,000 Kms",Fourth Owner,Petrol,37bhp,4,16.1 kmpl,Hatchback,Ahmedabad,0,
3857,2013 Mahindra XUV500 W6 2WD,₹ 4.20 Lakh,2013,2179 cc,Third Party insurance,Manual,"1,00,000 Kms",Second Owner,Diesel,140bhp,7,15.1 kmpl,SUV,Ahmedabad,0,
3858,2015 Maruti Wagon R VXI BS IV,₹ 2.80 Lakh,2015,998 cc,Third Party insurance,Manual,"1,00,000 Kms",Second Owner,Petrol,67.04bhp,5,20.51 kmpl,Hatchback,Ahmedabad,4,
3859,2014 Maruti Wagon R LXI BS IV,₹ 2.60 Lakh,2014,998 cc,Third Party insurance,Manual,"1,20,000 Kms",Second Owner,Petrol,67.04bhp,5,20.51 kmpl,Hatchback,Ahmedabad,4,
3860,2013 Hyundai EON D Lite Plus,₹ 2.30 Lakh,2013,814 cc,Third Party insurance,Manual,"1,00,000 Kms",Third Owner,Petrol,55.2bhp,5,21.1 kmpl,Hatchback,Ahmedabad,20,
3861,2018 Maruti SX4 S Cross Zeta DDiS 200 SH,₹ 7.95 Lakh,2018,1248 cc,Third Party insurance,Manual,"50,000 Kms",First Owner,Diesel,88.5bhp,5,25.1 kmpl,SUV,Ahmedabad,50,
3862,2011 Maruti Zen Estilo LXI,₹ 1.30 Lakh,2011,998 cc,Third Party insurance,Manual,"1,10,000 Kms",Second Owner,Petrol,67.1bhp,5,19 kmpl,Hatchback,Ahmedabad,10,
3863,2010 Hyundai Santro Xing GLS CNG,₹ 1.75 Lakh,2010,1086 cc,Third Party insurance,Manual,"1,20,000 Kms",Fourth Owner,CNG,62.1bhp,5,11.88 kmpl,Hatchback,Ahmedabad,10,
3864,2018 Maruti Ignis 1.2 Delta BSIV,₹ 4.64 Lakh,Jan 2019,1197 cc,Comprehensive,Manual,"40,244 Kms",First Owner,Petrol,81.80bhp,5,20.89 kmpl,Hatchback,Ahmedabad,80,
3865,2016 Maruti Eeco 5 Seater AC BSIV,₹ 4.24 Lakh,Nov 2016,1196 cc,Zero Dep,Manual,"24,233 Kms",First Owner,Petrol,73bhp,5,15.37 kmpl,Minivans,Ahmedabad,0,
3866,2017 Hyundai Grand i10 1.2 Kappa Sportz Option AT,₹ 5.25 Lakh,Sept 2017,1197 cc,Comprehensive,Automatic,"81,811 Kms",First Owner,Petrol,81.86bhp,5,18.9 kmpl,Hatchback,Ahmedabad,86,
3867,2016 Hyundai EON D Lite Plus,₹ 2.84 Lakh,Jan 2017,814 cc,Third Party insurance,Manual,"76,516 Kms",First Owner,Petrol,55.2bhp,5,21.1 kmpl,Hatchback,Ahmedabad,20,
3868,2019 Maruti Baleno 1.2 Delta,₹ 6.50 Lakh,Nov 2019,1197 cc,Zero Dep,Manual,"15,650 Kms",First Owner,Petrol,83.1bhp,5,21.4 kmpl,Hatchback,Ahmedabad,10,
3869,2017 Hyundai Grand i10 1.2 Kappa Era,₹ 4.38 Lakh,Jan 2018,1197 cc,Zero Dep,Manual,"61,072 Kms",First Owner,Petrol,81.86bhp,5,17 kmpl,Hatchback,Ahmedabad,86,
3870,2014 Hyundai i20 Asta 1.2,₹ 5.46 Lakh,Sept 2014,1197 cc,Third Party,Manual,"1,07,493 Kms",First Owner,Petrol,81.83bhp,5,18.6 kmpl,Hatchback,Ahmedabad,83,
3871,2021 MG Hector Sharp Diesel MT BSIV,₹ 15.91 Lakh,Mar 2021,1956 cc,Third Party,Manual,"85,590 Kms",First Owner,Diesel,167.68bhp,5,17.41 kmpl,SUV,Ahmedabad,68,
3872,2015 Honda City i VTEC V,₹ 5.86 Lakh,Jan 2015,1497 cc,Zero Dep,Manual,"1,02,761 Kms",First Owner,Petrol,117.3bhp,5,17.4 kmpl,Sedan,Ahmedabad,30,
3873,2019 Tata Tiago XZA Plus,₹ 5.61 Lakh,Jan 2020,1199 cc,Third Party insurance,Automatic,"54,865 Kms",First Owner,Petrol,83.83bhp,5,23.84 kmpl,Hatchback,Ahmedabad,83,
3874,2013 Maruti Swift VDI,₹ 4.10 Lakh,Oct 2013,1248 cc,Comprehensive,Manual,"80,714 Kms",First Owner,Diesel,74bhp,5,22.9 kmpl,Hatchback,Ahmedabad,0,
3875,2018 Hyundai Creta 1.6 SX Diesel,₹ 9.68 Lakh,Apr 2018,1582 cc,Comprehensive,Manual,"1,21,406 Kms",First Owner,Diesel,126.2bhp,5,20.5 kmpl,SUV,Ahmedabad,20,
3876,2010 Hyundai i20 1.2 Magna,₹ 2.60 Lakh,2010,1197 cc,Third Party insurance,Manual,"80,000 Kms",Second Owner,Petrol,80 PS at 5200 rpm,5,18.5 kmpl,Hatchback,Ahmedabad,0,
3877,2021 Hyundai Creta E Diesel BSVI,₹ 11.21 Lakh,2021,1493 cc,Third Party insurance,Manual,"50,000 Kms",Second Owner,Diesel,113.98bhp,5,,SUV,Ahmedabad,98,
3878,2021 Hyundai Creta E BSVI,₹ 11.21 Lakh,2021,1497 cc,Third Party insurance,Manual,"50,000 Kms",Second Owner,Petrol,113.18bhp,5,,SUV,Ahmedabad,18,
3879,2012 Maruti Zen Estilo LX BSIV,₹ 2 Lakh,2012,998 cc,Third Party insurance,Manual,"80,000 Kms",First Owner,Petrol,67.1bhp,5,19 kmpl,Hatchback,Ahmedabad,10,
3880,2013 Chevrolet Beat Diesel,₹ 1.40 Lakh,2013,936 cc,Third Party insurance,Manual,"60,000 Kms",Second Owner,Diesel,57.6bhp,5,25.44 kmpl,Hatchback,Ahmedabad,60,
3881,2021 Nissan Magnite XV BSVI,₹ 6.51 Lakh,2021,999 cc,Third Party insurance,Manual,"20,000 Kms",First Owner,Petrol,71.02bhp,5,18.75 kmpl,SUV,Ahmedabad,2,
3882,2021 Nissan Magnite XV BSVI,₹ 6.50 Lakh,2021,999 cc,Third Party insurance,Manual,"30,000 Kms",First Owner,Petrol,71.02bhp,5,18.75 kmpl,SUV,Ahmedabad,2,
3883,2021 Maruti Eeco Cargo STD CNG AC 2021-2022,₹ 5.55 Lakh,2021,1196 cc,Third Party insurance,Manual,"40,000 Kms",First Owner,CNG,61.68bhp,2,26.55 km/kg,Cars,Ahmedabad,68,
3884,2011 Hyundai i20 1.2 Magna,₹ 2.50 Lakh,May 2011,1197 cc,Comprehensive,Manual,"1,23,488 Kms",Second Owner,Petrol,80 PS at 5200 rpm,5,18.5 kmpl,Hatchback,Ahmedabad,0,
3885,2016 Hyundai Xcent 1.2 Kappa S Celebration Edition,₹ 5.88 Lakh,Nov 2016,1197 cc,Zero Dep,Manual,"36,225 Kms",First Owner,Petrol,82bhp,5,19.1 kmpl,Sedan,Ahmedabad,0,
3886,2017 Mahindra KUV 100 mFALCON G80 K4,₹ 3.71 Lakh,Apr 2017,1198 cc,Third Party insurance,Manual,"49,453 Kms",First Owner,Petrol,82bhp,6,18.15 kmpl,SUV,Ahmedabad,0,
3887,2014 Hyundai i10 Magna 1.1L,₹ 3.51 Lakh,Jan 2015,1086 cc,Comprehensive,Manual,"33,048 Kms",First Owner,Petrol,68.05bhp,5,19.81 kmpl,Hatchback,Ahmedabad,5,
3888,2020 Tata Tiago XZ Plus,₹ 6.02 Lakh,Jul 2020,1199 cc,Third Party insurance,Manual,"23,159 Kms",First Owner,Petrol,83.83bhp,5,23.84 kmpl,Hatchback,Ahmedabad,83,
3889,2021 Tata Altroz XM plus BSVI,₹ 7.13 Lakh,Jul 2021,1199 cc,Third Party,Manual,"23,436 Kms",First Owner,Petrol,86.83bhp,5,19.33 kmpl,Hatchback,Ahmedabad,83,
3890,2017 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹ 4.67 Lakh,May 2017,1197 cc,Third Party insurance,Manual,"47,108 Kms",First Owner,Petrol,81.86bhp,5,18.9 kmpl,Hatchback,Ahmedabad,86,
3891,2018 Maruti Ignis 1.2 Sigma BSIV,₹ 4.42 Lakh,Dec 2018,1197 cc,Comprehensive,Manual,"60,373 Kms",First Owner,Petrol,81.80bhp,5,20.89 kmpl,Hatchback,Ahmedabad,80,
3892,2014 Maruti Swift Dzire VDI,₹ 4.67 Lakh,Mar 2015,1248 cc,Third Party,Manual,"85,437 Kms",First Owner,Diesel,74bhp,5,23.4 kmpl,Sedan,Ahmedabad,0,
3893,2013 Honda Brio VX AT,₹ 3.58 Lakh,Sept 2013,1198 cc,Comprehensive,Automatic,"94,297 Kms",First Owner,Petrol,86.8bhp,5,16.5 kmpl,Hatchback,Ahmedabad,80,
3894,2019 Kia Seltos GTK,₹ 10.42 Lakh,Jun 2019,1353 cc,Third Party,Manual,"76,950 Kms",First Owner,Petrol,138bhp,5,16.1 kmpl,SUV,Ahmedabad,0,
3895,2018 Mahindra XUV500 AT W10 FWD,₹ 9.70 Lakh,2018,2179 cc,Third Party insurance,Automatic,"70,000 Kms",Second Owner,Diesel,140bhp,7,16 kmpl,SUV,Ahmedabad,0,
3896,2022 Toyota Urban cruiser High,₹ 10.21 Lakh,2022,1462 cc,Third Party insurance,Manual,"10,000 Kms",First Owner,Petrol,103.26bhp,5,17.03 kmpl,SUV,Ahmedabad,26,
3897,2021 Honda Amaze S BSVI,₹ 7 Lakh,2021,1199 cc,Third Party insurance,Manual,"20,000 Kms",First Owner,Petrol,88.50bhp,5,18.6 kmpl,Sedan,Ahmedabad,50,
3898,2021 Honda Amaze S BSVI,₹ 7 Lakh,2021,1199 cc,Third Party insurance,Manual,"20,000 Kms",First Owner,Petrol,88.50bhp,5,18.6 kmpl,Sedan,Ahmedabad,50,
3899,2013 Honda Brio S MT,₹ 2.50 Lakh,2013,1198 cc,Third Party insurance,Manual,"70,000 Kms",Fourth Owner,Petrol,86.8bhp,5,19.4 kmpl,Hatchback,Ahmedabad,80,
3900,2011 Maruti Wagon R LXI CNG,₹ 2.05 Lakh,2011,998 cc,Third Party insurance,Manual,"50,000 Kms",Second Owner,CNG,58.2bhp,5,26.2 kmpl,Hatchback,Ahmedabad,20,
3901,2011 Maruti Alto LXi,₹ 1.80 Lakh,2011,796 cc,Third Party insurance,Manual,"40,000 Kms",First Owner,Petrol,46.3bhp,5,19.7 kmpl,Hatchback,Ahmedabad,30,
3902,2017 Hyundai Grand i10 1.2 Kappa Magna BSIV,₹ 4.47 Lakh,Sept 2017,1197 cc,Comprehensive,Manual,"98,895 Kms",First Owner,Petrol,81.86bhp,5,18.9 kmpl,Hatchback,Ahmedabad,86,
3903,2013 Volkswagen Vento Petrol Highline,₹ 3.65 Lakh,Jun 2013,1598 cc,Comprehensive,Manual,"89,797 Kms",Second Owner,Petrol,103.6bhp,5,15.04 kmpl,Sedan,Ahmedabad,60,
3904,2018 Hyundai i20 1.4 Asta Option,₹ 7.30 Lakh,Jul 2019,1396 cc,Third Party,Manual,"78,064 Kms",Second Owner,Diesel,88.73bhp,5,22.54 kmpl,Hatchback,Ahmedabad,73,
3905,2022 Hyundai Venue SX Plus Turbo DCT,₹ 11.92 Lakh,Jun 2022,998 cc,Comprehensive,Automatic,"19,880 Kms",First Owner,Petrol,118.35bhp,5,18.15 kmpl,SUV,Ahmedabad,35,
3906,2019 Jeep Compass Trailhawk,₹ 16.95 Lakh,Jun 2019,1956 cc,Third Party,Manual,"84,114 Kms",First Owner,Diesel,170bhp,5,16.3 kmpl,SUV,Ahmedabad,0,
3907,2013 Hyundai i10 Magna 1.1L,₹ 3.06 Lakh,Jun 2013,1086 cc,Third Party,Manual,"64,268 Kms",Second Owner,Petrol,68.05bhp,5,19.81 kmpl,Hatchback,Ahmedabad,5,
3908,2018 Hyundai Creta 1.6 VTVT SX Plus,₹ 10.10 Lakh,Jun 2018,1591 cc,Third Party,Manual,"1,05,133 Kms",First Owner,Petrol,121.3bhp,5,13 kmpl,SUV,Ahmedabad,30,
3909,2019 Maruti Alto 800 LXI,₹ 3.17 Lakh,Jun 2019,796 cc,Third Party,Manual,"68,106 Kms",First Owner,Petrol,47.33bhp,5,22.05 kmpl,Hatchback,Ahmedabad,33,
3910,2022 Tata Altroz XT Diesel BSVI,₹ 9.11 Lakh,Jun 2022,1497 cc,Third Party,Manual,"15,857 Kms",First Owner,Diesel,88.77bhp,5,23.64 kmpl,Hatchback,Ahmedabad,77,
3911,2020 Hyundai Aura SX Option,₹ 6.98 Lakh,Jun 2020,1197 cc,Comprehensive,Manual,"30,109 Kms",First Owner,Petrol,81.86bhp,5,20.5 kmpl,Sedan,Ahmedabad,86,
3912,2010 Maruti Zen Estilo VXI BSIV,₹ 1.50 Lakh,May 2010,998 cc,Third Party,Manual,"82,224 Kms",First Owner,Petrol,67.1bhp,5,19 kmpl,Hatchback,Ahmedabad,10,
3913,2013 Tata Nano CX SE,"₹ 80,000",2013,624 cc,Third Party insurance,Manual,"40,000 Kms",Third Owner,Petrol,37.5bhp,4,25.4 kmpl,Hatchback,Ahmedabad,50,
3914,2017 Tata Zest Revotron 1.2T XE,₹ 3.50 Lakh,2017,1193 cc,Third Party insurance,Manual,"1,20,000 Kms",First Owner,Petrol,88.7bhp,5,17.57 kmpl,Sedan,Ahmedabad,70,
3915,2022 Nissan Magnite XV BSVI,₹ 8 Lakh,2022,999 cc,Third Party insurance,Manual,"50,000 Kms",First Owner,Petrol,71.02bhp,5,18.75 kmpl,SUV,Ahmedabad,2,
3916,2022 Tata Nexon XZ Plus P Dark Edition,₹ 13.22 Lakh,2022,1199 cc,Third Party insurance,Manual,"10,000 Kms",First Owner,Petrol,118.36bhp,5,17.57 kmpl,SUV,Ahmedabad,36,
3917,2013 Audi A4 2.0 TDI,₹ 7.50 Lakh,2013,1968 cc,Third Party insurance,Automatic,"1,00,000 Kms",Third Owner,Diesel,147.51bhp,5,16.55 kmpl,Sedan,Ahmedabad,51,
3918,2018 Datsun GO T Petrol,₹ 2.80 Lakh,2018,1198 cc,Third Party insurance,Manual,"50,000 Kms",First Owner,Petrol,67bhp,5,19.83 kmpl,Hatchback,Ahmedabad,0,
3919,2019 Maruti Wagon R ZXI 1.2,₹ 5 Lakh,2019,1197 cc,Third Party insurance,Manual,"30,000 Kms",Second Owner,Petrol,81.80bhp,5,20.52 kmpl,Hatchback,Ahmedabad,80,
3920,2017 Jeep Compass 2.0 Longitude BSIV,₹ 9 Lakh,2017,1956 cc,Third Party insurance,Manual,"80,000 Kms",First Owner,Diesel,170bhp,5,17.1 kmpl,SUV,Ahmedabad,0,
3921,2021 Mahindra XUV300 W6 Diesel BSVI,₹ 9.79 Lakh,Jun 2021,1497 cc,Third Party,Manual,"36,024 Kms",First Owner,Diesel,115bhp,5,20 kmpl,SUV,Ahmedabad,0,
3922,2021 Tata Altroz XZ Plus Dark Edition BSVI,₹ 8.44 Lakh,Jun 2021,1199 cc,Third Party,Manual,"30,023 Kms",First Owner,Petrol,86.83bhp,5,19.33 kmpl,Hatchback,Ahmedabad,83,
3923,2021 Maruti Swift VXI,₹ 6.91 Lakh,Aug 2021,1197 cc,Comprehensive,Manual,"15,800 Kms",First Owner,Petrol,88.50bhp,5,22.38 kmpl,Hatchback,Ahmedabad,50,
3924,2022 Toyota Urban cruiser Premium AT,₹ 11.46 Lakh,Jun 2022,1462 cc,Third Party,Automatic,"23,865 Kms",First Owner,Petrol,103.26bhp,5,18.76 kmpl,SUV,Ahmedabad,26,
3925,2017 Maruti Swift Dzire AMT ZDI,₹ 5.86 Lakh,Jun 2017,1248 cc,Comprehensive,Automatic,"86,739 Kms",Second Owner,Diesel,74.02bhp,5,28.4 kmpl,Sedan,Ahmedabad,2,
3926,2017 Maruti Ignis 1.2 Delta BSIV,₹ 4.83 Lakh,Nov 2017,1197 cc,Comprehensive,Manual,"30,159 Kms",First Owner,Petrol,81.80bhp,5,20.89 kmpl,Hatchback,Ahmedabad,80,
3927,2020 Hyundai Grand i10 Nios Magna,₹ 5.88 Lakh,Feb 2020,1197 cc,Zero Dep,Manual,"35,855 Kms",Second Owner,Petrol,81.86bhp,5,20.7 kmpl,Hatchback,Ahmedabad,86,
3928,2010 Hyundai i10 Magna,₹ 2.41 Lakh,Nov 2010,1197 cc,Comprehensive,Manual,"51,237 Kms",First Owner,Petrol,78.9bhp,5,20.36 kmpl,Hatchback,Ahmedabad,90,
3929,2020 Maruti Wagon R VXI,₹ 5.15 Lakh,Dec 2020,998 cc,Zero Dep,Manual,"30,393 Kms",First Owner,Petrol,67.05bhp,5,21.79 kmpl,Hatchback,Ahmedabad,5,
3930,2012 Maruti Swift VXI,₹ 3.82 Lakh,Apr 2012,1197 cc,Third Party,Manual,"67,658 Kms",First Owner,Petrol,88.50bhp,5,22.38 kmpl,Hatchback,Ahmedabad,50,
3931,2022 Honda Amaze VX CVT BSVI,₹ 8.93 Lakh,Jan 2022,1199 cc,Third Party,Automatic,"7,665 Kms",First Owner,Petrol,88.50bhp,5,18.3 kmpl,Sedan,Ahmedabad,50,
3932,2019 Hyundai Verna VTVT 1.6 SX,₹ 9.16 Lakh,Dec 2019,1591 cc,Comprehensive,Manual,"28,943 Kms",First Owner,Petrol,121.3bhp,5,17 kmpl,Sedan,Ahmedabad,30,
3933,2020 Tata Altroz XZ Option,₹ 7.15 Lakh,2020,1199 cc,Third Party insurance,Manual,"60,000 Kms",First Owner,Petrol,84.88bhp,5,18.53 kmpl,Hatchback,Ahmedabad,88,
3934,2011 Maruti 800 AC,₹ 1.60 Lakh,2011,796 cc,Third Party insurance,Manual,"90,000 Kms",Third Owner,Petrol,37bhp,4,16.1 kmpl,Hatchback,Ahmedabad,0,
3935,2017 Maruti Ciaz 1.4 Sigma,₹ 5.22 Lakh,2017,1373 cc,Third Party insurance,Manual,"60,000 Kms",Second Owner,Petrol,91.1bhp,5,20.73 kmpl,Sedan,Ahmedabad,10,
3936,2015 BMW 3 Series 320d Prestige,₹ 12 Lakh,2015,1995 cc,Third Party insurance,Automatic,"90,000 Kms",First Owner,Diesel,184bhp,5,18.88 kmpl,Sedan,Ahmedabad,0,
3937,2021 Hyundai Grand i10 Nios Sportz,₹ 7.25 Lakh,2021,1197 cc,Third Party insurance,Manual,"20,000 Kms",First Owner,Petrol,81.86bhp,5,20.7 kmpl,Hatchback,Ahmedabad,86,
3938,2004 Maruti Wagon R LXI,"₹ 55,000",2004,998 cc,Third Party insurance,Manual,"60,000 Kms",Second Owner,Petrol,67.1bhp,5,18.9 kmpl,Hatchback,Ahmedabad,10,
3939,2017 Tata Hexa XTA,₹ 9 Lakh,2017,2179 cc,Third Party insurance,Automatic,"1,20,000 Kms",Second Owner,Diesel,153.86bhp,7,17.6 kmpl,MUV,Ahmedabad,86,
3940,2017 Tata Hexa XTA,₹ 13 Lakh,2017,2179 cc,Third Party insurance,Automatic,"90,000 Kms",First Owner,Diesel,153.86bhp,7,17.6 kmpl,MUV,Ahmedabad,86,
3941,2017 Hyundai Verna 1.6 VTVT SX Option,₹ 8.39 Lakh,Mar 2018,1591 cc,Third Party,Manual,"70,916 Kms",First Owner,Petrol,121.3bhp,5,17.01 kmpl,Sedan,Ahmedabad,30,
3942,2018 Maruti Vitara Brezza VDi,₹ 7.87 Lakh,Sept 2018,1248 cc,Third Party insurance,Manual,"48,627 Kms",First Owner,Diesel,88.5bhp,5,24.3 kmpl,SUV,Ahmedabad,50,
3943,2019 Honda City i-VTEC CVT ZX,₹ 10.37 Lakh,Mar 2019,1497 cc,Zero Dep,Automatic,"61,229 Kms",First Owner,Petrol,117.6bhp,5,18 kmpl,Sedan,Ahmedabad,60,
3944,2019 MG Hector Super Diesel MT BSIV,₹ 13.45 Lakh,Jun 2019,1956 cc,Third Party,Manual,"24,059 Kms",First Owner,Diesel,167.68bhp,5,17.41 kmpl,SUV,Ahmedabad,68,
3945,2018 Mahindra KUV 100 mFALCON G80 K6 Plus,₹ 4.68 Lakh,Mar 2018,1198 cc,Zero Dep,Manual,"18,117 Kms",First Owner,Petrol,82bhp,6,18.15 kmpl,SUV,Ahmedabad,0,
3946,2017 Hyundai Verna 1.6 CRDi S,₹ 6.70 Lakh,Jun 2017,1582 cc,Third Party,Manual,"98,008 Kms",First Owner,Diesel,126.2bhp,5,23.9 kmpl,Sedan,Ahmedabad,20,
3947,2017 Hyundai Grand i10 Magna,₹ 4.68 Lakh,Jun 2017,1197 cc,Third Party,Manual,"27,092 Kms",First Owner,Petrol,81.86bhp,5,18.9 kmpl,Hatchback,Ahmedabad,86,
3948,2020 Maruti Ciaz Alpha AT BSVI,₹ 9.26 Lakh,Jun 2020,1462 cc,Third Party,Automatic,"20,636 Kms",First Owner,Petrol,103.25bhp,5,20.04 kmpl,Sedan,Ahmedabad,25,
3949,2021 Tata Nexon XZ Diesel,₹ 9.18 Lakh,Jun 2021,1497 cc,Third Party insurance,Manual,"65,998 Kms",First Owner,Diesel,108.50bhp,5,21.5 kmpl,SUV,Ahmedabad,50,
3950,2011 Hyundai i10 Magna 1.1L,₹ 2.47 Lakh,Oct 2011,1086 cc,Third Party insurance,Manual,"46,139 Kms",First Owner,Petrol,68.05bhp,5,19.81 kmpl,Hatchback,Ahmedabad,5,
3951,2020 Mahindra Marazzo M2 BSVI,₹ 10 Lakh,2020,1497 cc,Third Party insurance,Manual,"1,20,000 Kms",First Owner,Diesel,120.96bhp,7,17.3 kmpl,MUV,Ahmedabad,96,
3952,2021 Maruti SX4 S Cross Zeta,₹ 9.50 Lakh,2021,1462 cc,Third Party insurance,Manual,"20,000 Kms",First Owner,Petrol,103.25bhp,5,18.55 kmpl,SUV,Ahmedabad,25,
3953,2002 Maruti 800 Std BSIII,"₹ 50,000",2002,796 cc,Third Party insurance,Manual,"70,000 Kms",Third Owner,Petrol,37bhp,4,16.1 kmpl,Hatchback,Ahmedabad,0,
3954,2008 Chevrolet Spark 1.0,"₹ 50,000",2008,995 cc,Third Party insurance,Manual,"60,000 Kms",Third Owner,Petrol,62bhp,5,18 kmpl,Hatchback,Ahmedabad,0,
3955,2014 Chevrolet Enjoy Petrol LS 8 Seater,₹ 2 Lakh,2014,1399 cc,Third Party insurance,Manual,"1,20,000 Kms",Fifth Owner,Petrol,98.82bhp,8,13.7 kmpl,Chevrolet,Ahmedabad,82,
3956,2014 BMW X1 sDrive 20d Sportline,₹ 10 Lakh,2014,1995 cc,Third Party insurance,Automatic,"1,00,000 Kms",First Owner,Diesel,184bhp,5,17.05 kmpl,SUV,Ahmedabad,0,
3957,2012 Hyundai Verna 1.6 CRDI,₹ 2.80 Lakh,2012,1582 cc,Third Party insurance,Manual,"1,20,000 Kms",Second Owner,Diesel,126.3bhp,5,22.32 kmpl,Sedan,Ahmedabad,30,
3958,2015 Honda City i DTEC VX,₹ 6.30 Lakh,2015,1498 cc,Third Party insurance,Manual,"1,10,000 Kms",First Owner,Diesel,98.6bhp,5,25.1 kmpl,Sedan,Ahmedabad,60,
3959,2022 Mahindra XUV700 AX5 AT BSVI,₹ 19.19 Lakh,Nov 2022,1999 cc,Zero Dep,Automatic,"3,110 Kms",First Owner,Petrol,197.13bhp,5,,SUV,Ahmedabad,13,
3960,2022 Maruti Wagon R VXI CNG BSVI,₹ 6.72 Lakh,Jun 2022,998 cc,Comprehensive,Manual,"52,841 Kms",First Owner,CNG,55.92bhp,5,34.05 kmpl,Hatchback,Ahmedabad,92,
3961,2015 Hyundai i10 Magna 1.1L,₹ 3.45 Lakh,May 2015,1086 cc,Third Party insurance,Manual,"16,453 Kms",First Owner,Petrol,68.05bhp,5,19.81 kmpl,Hatchback,Ahmedabad,5,
3962,2016 Maruti Ciaz ZXi,₹ 6.12 Lakh,Oct 2016,1373 cc,Comprehensive,Manual,"35,851 Kms",First Owner,Petrol,91.1bhp,5,20.73 kmpl,Sedan,Ahmedabad,10,
3963,2018 Maruti Wagon R LXI CNG,₹ 4.21 Lakh,Feb 2019,998 cc,Comprehensive,Manual,"1,02,089 Kms",First Owner,CNG,58.16bhp,5,26.6 kmpl,Hatchback,Ahmedabad,16,
3964,2022 Toyota Urban cruiser High,₹ 9.70 Lakh,Jun 2022,1462 cc,Third Party,Manual,"14,226 Kms",First Owner,Petrol,103.26bhp,5,17.03 kmpl,SUV,Ahmedabad,26,
3965,2021 Maruti Celerio ZXI AMT,₹ 5.78 Lakh,Mar 2022,998 cc,Comprehensive,Automatic,"6,737 Kms",First Owner,Petrol,65.71bhp,5,26 kmpl,Hatchback,Ahmedabad,71,
3966,2021 Toyota Urban cruiser High AT,₹ 10 Lakh,Aug 2021,1462 cc,Third Party,Automatic,"48,232 Kms",First Owner,Petrol,103.26bhp,5,18.76 kmpl,SUV,Ahmedabad,26,
3967,2016 Maruti Baleno 1.2 Alpha,₹ 5.43 Lakh,May 2016,1197 cc,Comprehensive,Manual,"44,373 Kms",Second Owner,Petrol,83.1bhp,5,21.4 kmpl,Hatchback,Ahmedabad,10,
3968,2016 Tata Tiago 1.2 Revotron XT,₹ 3.46 Lakh,May 2016,1199 cc,Third Party insurance,Manual,"1,09,651 Kms",First Owner,Petrol,84bhp,5,23.84 kmpl,Hatchback,Ahmedabad,0,
3969,2017 Honda City i VTEC VX,₹ 7.50 Lakh,2017,1497 cc,Third Party insurance,Manual,"80,000 Kms",First Owner,Petrol,117.3bhp,5,17.8 kmpl,Sedan,Ahmedabad,30,
3970,2007 Maruti Wagon R LXI DUO BSIII,"₹ 67,500",2007,1061 cc,Third Party insurance,Manual,"1,20,000 Kms",Fourth Owner,LPG,57.5,5,17.3 kmpl,Hatchback,Ahmedabad,57.5,
3971,2016 Maruti Swift Dzire VDI Optional,₹ 4.90 Lakh,2016,1248 cc,Third Party insurance,Manual,"80,000 Kms",Second Owner,Diesel,74bhp,5,26.59 kmpl,Sedan,Ahmedabad,0,
3972,2010 Maruti Alto Green LXi (CNG),₹ 1.30 Lakh,2010,796 cc,Third Party insurance,Manual,"1,10,000 Kms",Third Owner,CNG,38.4bhp,5,26.83 kmpl,Hatchback,Ahmedabad,40,
3973,2022 Volkswagen Taigun 1.5 TSI GT Plus BSVI,₹ 19 Lakh,2022,1498 cc,Third Party insurance,Manual,"20,000 Kms",First Owner,Petrol,147.51bhp,5,17.88 kmpl,SUV,Ahmedabad,51,
3974,2010 Nissan Micra XL,₹ 1.25 Lakh,2010,1198 cc,Third Party insurance,Manual,"70,000 Kms",First Owner,Petrol,75bhp,5,18.06 kmpl,Hatchback,Ahmedabad,0,
